D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,141,141,55079009800,92,75,.16992983026,541.399940547,125.1666667,441.358647185,78.5,55079009800,55079009800,1532,.1554192229,.07058823529,.31288343558,.0327198364,.40264026403,.47996183206,.06723237598,.01109660574,.20654396728,.52147239264,.05788712,.32950195652,.85049833887,11153.8104161,4737352.82983,2.12430779875202,-.694267429681468,.142902719635601,-.203223065334594
 ,142,142,55079002100,134,115,.34674501207,386.451124988,115,331.655816221,95.6,55079002100,55079002100,2154,.02378378378,.13986928105,.2854054054,.07891891892,.50241545894,.39200515796,.01439182916,.02831940576,.16,.34378378378,.066270178,.18268941461,.81557572862,12593.5962831,9666657.47657,.921020851707069,-.476229135638569,-.285073928260103,.14504680155647
 ,143,143,55079000501,80,161,1.56191933365,51.2190343486,64,103.078306627,71.1111111,55079000501,55079000501,3844,.03364352183,.07774390244,.51324266285,.2125984252,.36060279871,.27023271969,.04994797086,.07804370447,.05082319256,.14244810308,.151385928,.60140551758,.83595387841,35741.9917797,43543637.7706,-.30951596571748,-.263005354822502,.318340879861019,-.972366050660418
 ,144,144,55079006500,107,102,.19375361891,552.2477495,132.2,526.441779897,97.4,55079006500,55079006500,2109,.12960436562,.10865191147,.3587994543,.09276944065,.47795823666,.56589147287,.04125177809,.01137980085,.25920873124,.46248294679,.109348915,.13815117805,.76588628763,9840.94955884,5401519.28257,2.28570877963071,-.986844173037435,.219629707857406,.448073739864213
 ,145,145,55079010800,30,103,.12533017245,239.367738934,22.8,821.829237006,84.6,55079010800,55079010800,2598,.02415458937,.19047619048,.1884057971,.29054520359,.04694835681,.15696993362,.06697459584,.04426481909,.04692891649,.17805383023,.685347344,.28693787072,.63933795227,9347.23664718,3493990.70324,-1.2272106684704,-.409535812247741,-1.57438326684763,1.95828980133477
 ,146,146,55079001200,148,100,.47313518138,312.807007012,112.8,211.356085819,120,55079001200,55079001200,3224,.09509202454,.05009823183,.1717791411,.15848670757,.5295735901,.38881053126,.10142679901,.01302729529,.19222903886,.38752556237,.051655629,.46560631646,.75605917532,15165.5141077,13190199.078,1.2681607896544,-.420188239957828,-.458428728713307,-.738886780150452
 ,147,147,55079021000,9,17,.49549500413,18.1636543761,25,34.3091249326,49.8,55079021000,55079021000,2293,.00334821429,.1167192429,.80691964286,.33816964286,.20070422535,.27892234548,.06759703445,.16964675098,.06919642857,.11495535714,.299651568,.23857322643,.93651488617,15895.7114091,13813552.6669,-.683525154739773,-.0241090932359,1.34978445686476,-.167367316473765
 ,148,148,55079011100,51,71,.0957191423,532.808785921,25,741.753407851,85.2,55079011100,55079011100,1547,.01500535906,.15177065767,.15648445874,.30975348339,.02487562189,.1812749004,.12605042017,.02844214609,.03001071811,.25616291533,.671846435,.25723536891,.56002595717,7344.58285064,2668485.86243,-1.38795816155281,-.136104125509725,-1.93660944667191,1.52211582970271
 ,149,149,55079000400,45,55,.93005016797,48.3844867188,80,59.1365948785,161,55079000400,55079000400,2527,.04188481675,.05258764608,.20942408377,.06631762653,.50457038391,.31984260821,.04946576969,.05263157895,.13961605585,.22687609075,.174515235,.57532319333,.85428342674,20917.7580354,25928206.8863,.49805373521338,-.373850235763261,-.321824343798786,-1.04754268133378
 ,150,150,55079020600,23,55,.51205849617,44.9167432471,15.2,107.409603417,46.8,55079020600,55079020600,3695,.03431372549,.06611165524,.61642156863,.30882352941,.19457013575,.25353502138,.03355886333,.14722598106,.01899509804,.09865196078,.279770445,.23520025782,.89547710976,15952.0884546,14275314.4764,-.781277301599384,-.284924571679409,.785839766646807,-.875111382866017
