D_R	poly_id	objectid	geoid	Violent	Property	SqMi	VCdensity	vclag	PCdensity	pclag	TractID	Id2	Total_Pop	PAIProp	OccuProp	OwnerProp	MandFHH_ch	ForeignPro	EthnHerter	HispProp	Unemployed_Fixed	Inc75K_	BAup	SSIProp	BelowProp	SameProp	Shape_Leng	Shape_Area	FAC1_1	FAC2_1	FAC3_1
 	724	724	17031834600	111	157	0.603203375	184.0175381	68.375	260.2770583	114	17031834600	17031834600	2535	0.130480167	0.040462428	0.218162839	0.369098712	0.01617357	0.150202646	0.055621302	0.210088404	0.105427975	0.036548832	0.174321503	0.346555324	0.816686723	17285.07588	16816277.7	1.666917088	-0.79061285	-0.322082402
 	725	725	17031834700	52	110	0.254059862	204.6761716	51.7142857	432.9688245	75	17031834700	17031834700	1748	0.124113475	0.189066059	0.189716312	0.399441341	0.040045767	0.287894239	0.088100687	0.145424837	0.095744681	0.075712881	0.253546099	0.459219858	0.748416811	10652.91275	7082754.138	1.792795558	-1.117484256	-1.021134531
 	726	726	17031834800	70	93	0.23185409	301.9140186	81.5	401.114339	121.1666667	17031834800	17031834800	1566	0.025954198	0.086842105	0.248854962	0.326693227	0.024904215	0.076336388	0.039591315	0.175370226	0.096183206	0.092609083	0.216793893	0.422900763	0.893685567	11232.86325	6463695.203	1.484685248	-0.896680427	0.022147759
 	727	727	17031834900	79	106	0.252023699	313.4625846	58.7777778	420.5953667	83.7777778	17031834900	17031834900	1859	0.062416999	0.146453089	0.310756972	0.297082228	0.012910167	0.068508146	0.003765465	0.121049092	0.082337317	0.104216388	0.09561753	0.454183267	0.799672489	13218.41064	7025989.379	1.237996385	-0.886410418	-0.31181419
 	728	728	17031835000	113	220	0.387684933	291.4737986	51.75	567.4711123	102.875	17031835000	17031835000	5579	0.036189462	0.080188679	0.343267696	0.292093023	0.162573938	0.571403736	0.4041943	0.145907473	0.091538052	0.063578565	0.105907398	0.331027142	0.841772152	13453.80094	10807992.4	0.941045841	0.471471733	-0.207743522
 	729	729	17031835100	58	135	0.387612067	149.6341442	46	348.2863702	95.875	17031835100	17031835100	5809	0.023738872	0.103097345	0.634272997	0.217674419	0.359442245	0.599635952	0.842485798	0.150934579	0.209198813	0.064198959	0.057121662	0.207715134	0.92835977	13464.15485	10805961.04	0.259150614	1.715134442	0.762034223
 	730	730	17031835200	24	46	0.381679318	62.8800117	20.375	120.5200224	72.875	17031835200	17031835200	1833	0.03514377	0.104651163	0.573482428	0.185185185	0.355155483	0.512404428	0.650300055	0.067073171	0.226837061	0.135091926	0.075079872	0.089456869	0.958333333	13314.3449	10640566.14	0.15373354	1.298065244	0.96241201
 	731	731	17031835500	63	89	0.353133281	178.4028961	29.6666667	252.0294881	71.5555556	17031835500	17031835500	1444	0.051282051	0.118357488	0.287749288	0.143283582	0.042243767	0.146147781	0.055401662	0.11496063	0.086894587	0.113879004	0.225071225	0.44017094	0.822501747	14725.99895	9844751.476	1.353899118	-0.936249032	-0.080357898
 	732	732	17031835600	68	171	0.354239543	191.9605003	43.625	482.7241994	69	17031835600	17031835600	910	0.104956268	0.274509804	0.419825073	0.097297297	0.037362637	0.142011834	0.076923077	0.16998672	0.131195335	0.14511041	0.139941691	0.128279883	0.863028953	14378.41646	9875592.185	0.554647462	-1.089961419	0.473960425
 	733	733	17031835700	8	18	0.073435096	108.9397361	41.25	245.1144062	71.5	17031835700	17031835700	592	0.212871287	0	0	0.793103448	0.048986486	0	0	0.570588235	0	0.147540984	0	0.49009901	1	6842.871629	2047244.797	2.364352367	-0.348655451	-0.839781455
 	734	734	17031835800	24	67	0.109820891	218.5376552	40.6666667	610.0842874	71	17031835800	17031835800	1707	0.049284579	0.104072398	0.392686804	0.4	0	0.127019623	0.019332162	0.168717047	0.362480127	0.449521785	0.098569157	0.292527822	0.779490219	9132.967876	3061618.479	0.25374361	-0.981315051	-0.513005067
 	735	735	17031835900	76	121	0.249988299	304.0142294	28.2	484.0226547	64.1	17031835900	17031835900	3170	0.074200136	0.134744947	0.168822328	0.276699029	0.006940063	0.212694524	0.006624606	0.155599214	0.120490129	0.17730151	0.22940776	0.437031995	0.817981073	10555.21337	6969245.91	1.37103394	-1.101740376	-0.709827745
 	736	736	17031836000	42	80	0.195274949	215.0813523	41.125	409.6787663	88.5	17031836000	17031836000	2685	0.108280255	0.068734283	0.538216561	0.204437401	0.016014898	0.100929018	0.010428305	0.155737705	0.418259023	0.331689273	0.050955414	0.237791932	0.924722965	9457.905937	5443931.348	0.160954553	-0.892647585	0.765861432
 	737	737	17031836100	80	102	0.332242207	240.7881911	48.3333333	307.0049436	92.0833333	17031836100	17031836100	2163	0.130551817	0.166204986	0.135935397	0.346793349	0.06518724	0.127096555	0.055016181	0.131976362	0.197846568	0.168924303	0.173620458	0.36204576	0.776565465	17520.64015	9262344.09	1.23830772	-0.850802228	-1.064190955
 	738	738	17031836200	11	63	0.314193776	35.01024163	29.1111111	200.513202	69.6666667	17031836200	17031836200	1585	0	0.041176471	0.459016393	0	0.174132492	0.529796097	0.065615142	0.043197937	0.426229508	0.917948718	0	0.327868852	0.547003155	11898.3069	8759184.715	-0.465217862	-0.530608828	-0.617242193
 	739	739	17031836300	12	26	0.053098997	225.9929709	31.6666667	489.651437	76.5555556	17031836300	17031836300	1421	0.016566265	0.118206522	0.388554217	0	0.116819141	0.620949654	0.028149191	0.055780113	0.365963855	0.556133056	0.057228916	0.201807229	0.700914849	6608.620481	1480309.146	-0.513736532	-0.508934889	-0.469736916
 	740	740	17031836400	50	116	0.643316645	77.72222339	30.5	180.3155583	71.3333333	17031836400	17031836400	3308	0.034739454	0.136331192	0.263027295	0.458204334	0.04050786	0.224084938	0.067412334	0.115430862	0.226426799	0.391366224	0.171215881	0.358560794	0.796262255	17860.73602	17934567.02	0.767548016	-0.86548089	-0.89341974
